sync measurement test passed!
measurement test without zero_debias done in  0.00330639123917  s/iter!
sync measurement test passed!
measurement test with zero_debias done in  0.0033559012413  s/iter!
lr  0.915720558229 0.915720558229  mu  0.0783606259318 0.0783606229642
lr  0.914804837679 0.914804837679  mu  0.0790858770479 0.079085876044
lr  0.913890032851 0.913890032851  mu  0.0798071576087 0.0798071585042
lr  0.912976142827 0.912976142827  mu  0.0805244759704 0.0805244790194
lr  0.912063166693 0.912063166693  mu  0.0812378407049 0.0812378455735
lr  0.911151103535 0.911151103535  mu  0.0819472605916 0.0819472673775
lr  0.91023995244 0.91023995244  mu  0.0826527446087 0.0826527530709
lr  0.909329712496 0.909329712496  mu  0.083354301925 0.083354312705
lr  0.908420382792 0.908420382792  mu  0.0840519418926 0.0840519546787
lr  0.907511962418 0.907511962418  mu  0.084745674039 0.0847456899233
lr  0.906604450464 0.906604450464  mu  0.0854355080603 0.0854355259435
lr  0.905697846021 0.905697846022  mu  0.0861214538142 0.0861214740559
lr and mu computing test passed!
lr and mu test done without zero_debias in  0.00282060146332  s/iter!
lr  0.999000051074 0.999000051062  mu  8.13980682107e-05 8.14465739199e-05
lr  0.998001080195 0.998001080178  mu  0.000292792449783 0.000292881584756
lr  0.99700309759 0.997003097568  mu  0.000617571870012 0.000617725678958
lr  0.996006107087 0.996006107062  mu  0.00103309441461 0.00103330958184
lr  0.995010110039 0.995010110017  mu  0.001520655712 0.00152080304155
lr  0.994015106715 0.994015106695  mu  0.00206597229831 0.00206607621361
lr  0.993021096855 0.993021096836  mu  0.00265823955379 0.00265830707826
lr  0.992028079919 0.9920280799  mu  0.00328921068033 0.00328929003734
lr  0.991036055208 0.991036055188  mu  0.00395250115518 0.00395262872779
lr  0.990045021929 0.990045021908  mu  0.00464309281367 0.00464322621179
lr  0.989054979227 0.989054979206  mu  0.00535698353868 0.0053571483373
lr  0.988065926213 0.988065926192  mu  0.00609093813205 0.00609106845167
lr  0.987077861968 0.987077861947  mu  0.00684230890983 0.00684241893414
lr  0.986090785559 0.986090785538  mu  0.00760890463516 0.00760900582452
lr  0.985104696039 0.985104696019  mu  0.00838889335632 0.00838900971065
lr  0.984119592455 0.984119592435  mu  0.00918072935531 0.00918083539404
lr  0.983135473846 0.983135473825  mu  0.00998309748721 0.00998319694835
lr  0.982152339246 0.982152339225  mu  0.010794870239 0.010794954532
lr  0.981170187688 0.981170187668  mu  0.0116150742159 0.0116151488445
lr  0.980189018231 0.980189018211  mu  0.0124289507843 0.0124290406651
lr  0.979208829927 0.979208829906  mu  0.0132199367812 0.0132200426315
lr  0.978229621812 0.978229621791  mu  0.0139744779836 0.0139745728081
lr  0.97725139291 0.97725139289  mu  0.0146837427093 0.0146838559498
